Jurisdiction,Community,Type,Population
British Columbia,Kitimat-Stikine E,RDA,3932
British Columbia,Invermere,DM,3917
British Columbia,Kamloops 1,IRI,3915
British Columbia,Port Hardy 5,DM,3902
British Columbia,Central Kootenay E,RDA,3897
British Columbia,Sunshine Coast E,RDA,3883
British Columbia,Cariboo B,RDA,3864
British Columbia,Lantzville,DM,3817
British Columbia,Fraser-Fort George C,RDA,3603
British Columbia,Cowichan Valley D,RDA,3530
British Columbia,Sunshine Coast D,RDA,3523
British Columbia,East Kootenay F,RDA,3521
British Columbia,Bulkley-Nechako F,RDA,3517
British Columbia,Central Kootenay J,RDA,3517
British Columbia,Fraser-Fort George A,RDA,3471
British Columbia,Pemberton,VL,3407
British Columbia,Nanaimo C,RDA,3344
British Columbia,Columbia-Shuswap A,RDA,3325
British Columbia,Lake Cowichan,T,3325
British Columbia,Thompson-Nicola L (Grasslands) 5,RDA,3321
British Columbia,Mackenzie,DM,3281
British Columbia,North Okanagan B,RDA,3274
British Columbia,Okanagan (Part) 1 5,IRI,3244
British Columbia,Kootenay Boundary D / Rural Grand Forks,RDA,3226
British Columbia,Columbia-Shuswap F,RDA,3200
Northwest Territories,Hay River,T,3169
Northwest Territories,Inuvik,T,3137
British Columbia,Tzeachten 13,IRI,3089
British Columbia,Houston,DM,3052
British Columbia,Sunshine Coast A 5,RDA,3039
British Columbia,Enderby,CY,3028
British Columbia,Kootenay Boundary E / West Boundary,RDA,3004
British Columbia,Kitimat-Stikine C (Part 1),RDA,2978
British Columbia,Sunshine Coast B,RDA,2969
British Columbia,Alberni-Clayoquot E,RDA,2946
British Columbia,North Okanagan D,RDA,2909
British Columbia,Capilano 5,IRI,2899
British Columbia,Central Okanagan West 5,RDA,2897
British Columbia,Princeton,T,2894
British Columbia,Cariboo D,RDA,2870
British Columbia,Elkford,DM,2749
British Columbia,Strathcona C,RDA,2737
British Columbia,Peace River E,RDA,2660
British Columbia,Sicamous,DM,2613
British Columbia,Central Kootenay I,RDA,2607
British Columbia,Cowichan Valley H,RDA,2603
British Columbia,Tofino 4,DM,2516
British Columbia,Highlands,DM,2482
British Columbia,Fraser Valley H,RDA,2459
British Columbia,Cowichan Valley G 5,RDA,2442
British Columbia,Cowichan 5,IRI,2420
British Columbia,Sunshine Coast F,RDA,2407
British Columbia,Tumbler Ridge,DM,2399
British Columbia,Chase,VL,2399
British Columbia,Clearwater,DM,2388
British Columbia,Burrard Inlet 3 5,IRI,2373
British Columbia,Anmore,VL,2356
British Columbia,Port McNeill,T,2356
British Columbia,Okanagan-Similkameen I 5,RDA,2307
British Columbia,Chetwynd,DM,2302
British Columbia,Lillooet,DM,2302
British Columbia,Okanagan-Similkameen G 5,RDA,2298
British Columbia,Tsawwassen,TWL,2256
British Columbia,Logan Lake,DM,2255
Northwest Territories,Fort Smith,T,2248
British Columbia,Central Kootenay A,RDA,2241
British Columbia,Okanagan-Similkameen H 5,RDA,2232
British Columbia,qathet C,RDA,2197
British Columbia,Okanagan-Similkameen A,RDA,2139
British Columbia,Fraser Valley D,RDA,2092
British Columbia,Okanagan-Similkameen F,RDA,2092
British Columbia,Penticton 1,IRI,2080
British Columbia,Ucluelet,DM,2066
British Columbia,Lumby,VL,2063
British Columbia,Okanagan-Similkameen E,RDA,2015
British Columbia,East Kootenay B,RDA,2011
British Columbia,Squamish-Lillooet C,RDA,2000
British Columbia,Alberni-Clayoquot F,RDA,1977
British Columbia,Fruitvale,VL,1958
British Columbia,One Hundred Mile House 4,DM,1928
British Columbia,Harrison Hot Springs,VL,1905
British Columbia,Cariboo H,RDA,1884
British Columbia,East Kootenay A 6,RDA,1875
British Columbia,Duck Lake 7,IRI,1847
British Columbia,Alberni-Clayoquot D,RDA,1843
British Columbia,New Songhees 1A,IRI,1839
British Columbia,Cowichan Valley F,RDA,1804
British Columbia,Thompson-Nicola J (Copper Desert Country),RDA,1796
British Columbia,Nisga'a,NL,1794
British Columbia,East Saanich 2,IRI,1790
British Columbia,Central Kootenay K,RDA,1784
British Columbia,Tsinstikeptum 10,IRI,1766
British Columbia,Barriere,DM,1765
British Columbia,Warfield,VL,1753
Northwest Territories,Behchokò,CG,1746
British Columbia,Bulkley-Nechako B 5,RDA,1706
British Columbia,Fraser Valley G,RDA,1692
British Columbia,East Kootenay E,RDA,1686
British Columbia,Ashcroft,VL,1670
British Columbia,qathet B,RDA,1664
British Columbia,Burns Lake,VL,1659
British Columbia,East Kootenay G 5,RDA,1654
British Columbia,Central Kootenay G,RDA,1650
British Columbia,Musqueam 2,IRI,1646
British Columbia,Thompson-Nicola M (Beautiful Nicola Valley - North),RDA,1637
British Columbia,Kootenay Boundary C / Christina Lake,RDA,1627
British Columbia,Kootenay Boundary A,RDA,1624
British Columbia,Keremeos,VL,1608
British Columbia,Bulkley-Nechako D,RDA,1607
British Columbia,Nakusp,VL,1589
British Columbia,Fraser-Fort George H,RDA,1589
Yukon,Dawson,T,1577
British Columbia,Thompson-Nicola A (Wells Gray Country),RDA,1573
British Columbia,Fraser Valley E,RDA,1568
Yukon,Macpherson-Grizzly Valley,NO,1540
British Columbia,Thompson-Nicola O (Lower North Thompson) 5,RDA,1523
British Columbia,Bulkley-Nechako E,RDA,1512
Yukon,"Yukon, Unorganized 3",NO,1496
British Columbia,Cariboo I 5,RDA,1485
British Columbia,Central Kootenay C 5,RDA,1475
British Columbia,Telkwa,VL,1474
British Columbia,Central Kootenay D,RDA,1462
British Columbia,Kitimat-Stikine B,RDA,1455
British Columbia,Osoyoos 1,IRI,1426
British Columbia,Cowichan Valley I,RDA,1423
British Columbia,Kootenay Boundary B / Lower Columbia-Old-Glory,RDA,1422
British Columbia,Sun Peaks Mountain,VL,1404
British Columbia,Lions Bay,VL,1390
British Columbia,Columbia-Shuswap E,RDA,1388
British Columbia,Fort St. James,DM,1386
British Columbia,Fraser Valley F,RDA,1384
British Columbia,Radium Hot Springs,VL,1339
British Columbia,Taylor,DM,1317
British Columbia,Bulkley-Nechako C 5,RDA,1266
British Columbia,qathet A,RDA,1250
British Columbia,Fraser-Fort George F,RDA,1249
British Columbia,Gold River,VL,1246
British Columbia,Mount Currie,IRI,1242
British Columbia,Cariboo C,RDA,1239
British Columbia,Bella Bella 1,IRI,1193
British Columbia,Thompson-Nicola E (Bonaparte Plateau),RDA,1162
British Columbia,Okanagan-Similkameen B,RDA,1151
British Columbia,Salmo,VL,1140
Yukon,Watson Lake 3,T,1133
British Columbia,Fraser Valley C,RDA,1133
British Columbia,qathet D,RDA,1126
Northwest Territories,Fort Simpson,VL,1100
British Columbia,North Okanagan E,RDA,1092
British Columbia,Strathcona B,RDA,1059
British Columbia,Squamish-Lillooet D,RDA,1057
