Jurisdiction,Community,Type,Population
Yukon,Teslin Post 13 3,SG,19
British Columbia,Ruby Creek 2 5,IRI,19
British Columbia,Mission 5,IRI,19
British Columbia,Unnamed 10,IRI,18
British Columbia,Dog Creek 2,IRI,17
British Columbia,Yekwaupsum 18,IRI,17
British Columbia,Laketown 3,IRI,16
British Columbia,Towinock 2,IRI,16
British Columbia,Klehkoot 2,IRI,15
British Columbia,Dzitline Lee 9,IRI,15
British Columbia,Tacla Lake (Ferry Landing) 9,IRI,15
British Columbia,Dragon Lake 3 5,IRI,15
British Columbia,Towdystan Lake 3,IRI,15
British Columbia,Tseatah 2,IRI,15
British Columbia,Lulu 5 5,IRI,15
British Columbia,Seaichem 16,IRI,15
British Columbia,Kleetlekut 22,IRI,15
British Columbia,Louis Creek 4,IRI,15
British Columbia,Upper Hat Creek 1,IRI,15
British Columbia,Upper Nepa 6,IRI,15
Yukon,Johnsons Crossing,SÉ,10
Yukon,Stewart Crossing,SÉ,10
British Columbia,Elhlateese 2,IRI,10
British Columbia,Poison Creek 17A,IRI,10
British Columbia,Seaspunkut 4,IRI,10
British Columbia,Skins Lake 16A,IRI,10
British Columbia,Anahim's Meadow,IRI,10
British Columbia,Fishtrap 19,IRI,10
British Columbia,Johny Sticks 2,IRI,10
British Columbia,St. Mary's 5,IRI,10
British Columbia,Puckatholetchin 11,IRI,10
British Columbia,Skawahlook 1,IRI,10
British Columbia,Musqueam 4,IRI,10
British Columbia,Alexis 9,IRI,10
British Columbia,Fountain 12,IRI,10
British Columbia,Fountain 3,IRI,10
British Columbia,Halhalaeden,IRI,10
British Columbia,Lytton 9A,IRI,10
British Columbia,Seah 5,IRI,10
British Columbia,Skuppah 4,IRI,10
Yukon,Swift River 3,SÉ,5
Northwest Territories,Salt Plains 195,IRI,5
British Columbia,Duncan Lake 2,IRI,5
British Columbia,Jean Baptiste 28,IRI,5
British Columbia,Sowchea 3,IRI,5
British Columbia,Alexis Creek 14,IRI,5
British Columbia,Alkali Lake 4A,IRI,5
British Columbia,Euchinico Creek 17,IRI,5
British Columbia,Michel Gardens 36,IRI,5
British Columbia,Puntzi Lake 2,IRI,5
British Columbia,Thomas Squinas Ranch 2A,IRI,5
British Columbia,Windy Mouth 7 5,IRI,5
British Columbia,Pentledge 2,IRI,5
British Columbia,Cassimayooks (Mayook) 5,IRI,5
British Columbia,Bucktum 4,IRI,5
British Columbia,Kahmoose 4,IRI,5
British Columbia,Sachteen,IRI,5
British Columbia,Schelowat 1,IRI,5
British Columbia,Scowlitz 1,IRI,5
British Columbia,Yale Town 1,IRI,5
British Columbia,Whonnock 1,IRI,5
British Columbia,Fontas 1 5,IRI,5
British Columbia,Fountain 10,IRI,5
British Columbia,Necait 6,IRI,5
British Columbia,Nesikep 6,IRI,5
British Columbia,Lower Post 5,S-É,5
British Columbia,105 Mile Post 2,IRI,5
British Columbia,Entlqwekkinh 19 5,IRI,5
British Columbia,Lytton 4E,IRI,5
British Columbia,Nickel Palm 4,IRI,5
British Columbia,Nkaih 10,IRI,5
British Columbia,Nohomeen 23,IRI,5
British Columbia,Skwayaynope 26,IRI,5
British Columbia,Spintlum Flat 3,IRI,5
British Columbia,Yawaucht 11,IRI,5
British Columbia,Zacht 5,IRI,5
Yukon,Kloo Lake,S-É,0
Yukon,Moosehide Creek 2,SG,0
Yukon,North Slope 3,NO,0
Yukon,Teslin,TL,0
Northwest Territories,"Region 1, Unorganized",NO,0
Northwest Territories,"Region 2, Unorganized",NO,0
Northwest Territories,"Region 3, Unorganized",NO,0
Northwest Territories,Reliance,SET,0
British Columbia,Alberni 2,IRI,0
British Columbia,Clakamucus 2,IRI,0
British Columbia,Numukamis 1,IRI,0
British Columbia,Sachsa 4,IRI,0
British Columbia,Babine 16 5,IRI,0
British Columbia,Babine Lake 21B,IRI,0
British Columbia,Mission Lands 17,IRI,0
British Columbia,Nedoats 11,IRI,0
British Columbia,Noonla 6 5,IRI,0
British Columbia,Skins Lake 16B,IRI,0
British Columbia,Tadinlay 15,IRI,0
British Columbia,Tatla West 11,IRI,0
British Columbia,Tatla't East 2,IRI,0
British Columbia,Galiano Island 9,IRI,0
British Columbia,Agats Meadow 8,IRI,0
British Columbia,Alexis Creek 16,IRI,0
British Columbia,Alexis Creek 21,IRI,0
British Columbia,Alexis Creek 34,IRI,0
British Columbia,Baezaeko River 27,IRI,0
British Columbia,Baptiste Meadow 2,IRI,0
British Columbia,Betty Creek 18,IRI,0
British Columbia,Canim Lake 4,IRI,0
British Columbia,Canoe Creek 3,IRI,0
British Columbia,Charley Boy's Meadow 3,IRI,0
British Columbia,Coglistiko River 29,IRI,0
British Columbia,Salmon River Meadow 7,IRI,0
British Columbia,Sandy Harry 4,IRI,0
British Columbia,Sundayman's Meadow 3,IRI,0
British Columbia,Swan Lake 3,IRI,0
British Columbia,Trout Lake Alec 16,IRI,0
British Columbia,Ulkatcho 13,IRI,0
British Columbia,Kil-pah-las 3,IRI,0
British Columbia,Portier Pass 5,IRI,0
British Columbia,Shingle Point 4,IRI,0
British Columbia,Isidore's Ranch 4,IRI,0
British Columbia,Boothroyd 13,IRI,0
British Columbia,Boston Bar 1A,IRI,0
British Columbia,Inkahtsaph 6,IRI,0
British Columbia,Paqulh,IRI,0
British Columbia,Popkum 1,IRI,0
British Columbia,Saddle Rock 9,IRI,0
British Columbia,Skwali 3,IRI,0
British Columbia,Speyum 3,IRI,0
British Columbia,Tipella 7,IRI,0
British Columbia,Coquitlam 2,IRI,0
British Columbia,Kitimat-Stikine C (Part 2),RDA,0
British Columbia,Kshish 4,IRI,0
British Columbia,Tahltan 1,IRI,0
British Columbia,Hope Island 1,IRI,0
British Columbia,Hopetown 10A,IRI,0
British Columbia,Nimpkish 2 4,IRI,0
British Columbia,Thomas Point 5,IRI,0
British Columbia,Thomas Point 5A 5,IRI,0
British Columbia,Harris 3,IRI,0
British Columbia,Kahntah 3,IRI,0
British Columbia,Ingenika Point,S-É,0
British Columbia,Mesilinka 7 5,IRI,0
British Columbia,Fountain 11,IRI,0
British Columbia,Fountain 3A 5,IRI,0
British Columbia,Fountain Creek 8,IRI,0
British Columbia,Seton Lake 5,IRI,0
British Columbia,Good Hope Lake,S-É,0
British Columbia,Ahaminaquus 12,IRI,0
British Columbia,Chenahkint 12,IRI,0
British Columbia,Nenagwas 12 5,IRI,0
British Columbia,Squirrel Cove 8,IRI,0
British Columbia,Village Island 1,IRI,0
British Columbia,Yuquot 1,IRI,0
British Columbia,Chekwelp 26,IRI,0
British Columbia,Boothroyd 8A,IRI,0
British Columbia,Chuchhraischin,IRI,0
British Columbia,Hamilton Creek 2,IRI,0
British Columbia,High Bar 1,IRI,0
British Columbia,Kanaka Bar 5,IRI,0
British Columbia,Lytton 4A,IRI,0
British Columbia,Lytton 9B,IRI,0
British Columbia,Nekalliston 2,IRI,0
British Columbia,Oregon Jack Creek 5,IRI,0
British Columbia,Paska Island 3,IRI,0
British Columbia,Pemynoos 9,IRI,0
British Columbia,Peq-Paq 22,IRI,0
British Columbia,Skuppah 2A,IRI,0
British Columbia,Squaam 2 5,IRI,0
British Columbia,Tsaukan 12,IRI,0
British Columbia,Twoyqhalsht 16 5,IRI,0
