"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-02"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation"
"North Okanagan D","RDA","2,909","2,672","8.9","1,264","1,236","2.3","1,170","1,106","5.8","1,790.98","1.6","1,062","164"
"North Okanagan E","RDA","1,092","1,010","8.1","508","461","10.2","451","431","4.6","2,604.05","0.4","2,007","269"
"North Okanagan F","RDA","4,362","4,000","9.1","2,325","2,301","1.0","1,789","1,737","3.0","1,767.29","2.5","806","114"
"Okanagan (Part) 1 5","IRI","3,244","2,859","13.5","2,015","1,895","6.3","1,616","1,380","17.1","89.79","36.1","989","153"
"Priest's Valley 6","IRI","367","628","-41.6","237","304","-22.0","228","303","-24.8","0.36","1,024.9","3,292","351"
"Spallumcheen","DM","5,307","5,106","3.9","2,099","2,089","0.5","2,036","2,001","1.7","254.92","20.8","704","96"
"Vernon 5","CY","44,519","40,116","11.0","21,287","19,171","11.0","19,776","17,799","11.1","96.43","461.7","116","22"
"Fontas 1 5","IRI","5","5","0.0","1","2","-50.0","1","2","-50.0","0.13","38.9","4,760","610"
"Fort Nelson 2 5","IRI","419","425","-1.4","203","179","13.4","179","153","17.0","95.58","4.4","3,119","340"
"Kahntah 3","IRI","0","0","...","0","0","...","0","0","...","0.08","0.0","4,831","644"
"Northern Rockies 5","RGM","3,947","4,862","-18.8","2,268","2,355","-3.7","1,692","1,982","-14.6","84,759.31","0.0","865","130"
"Prophet River 4 5","IRI","107","101","5.9","51","57","-10.5","46","45","2.2","3.79","28.2","4,225","453"
"Alexis 9","IRI","10","10","0.0","4","6","-33.3","4","5","-20.0","1.88","5.3","4,722","592"
"Ashnola 10","IRI","58","83","-30.1","30","28","7.1","27","28","-3.6","35.91","1.6","4,465","510"
"Blind Creek 6","IRI","26","26","0.0","10","10","0.0","10","9","11.1","1.58","16.5","4,622","558"
"Chopaka 7 & 8","IRI","86","81","6.2","32","27","18.5","32","27","18.5","16.98","5.1","4,321","478"
"Chuchuwayha 2","IRI","86","58","48.3","35","28","25.0","33","27","22.2","21.38","4.0","4,321","478"
"Keremeos","VL","1,608","1,502","7.1","852","782","9.0","809","732","10.5","2.09","768.3","1,590","234"
"Lower Similkameen 2","IRI","76","58","31.0","25","20","25.0","21","19","10.5","12.98","5.9","4,369","492"
"Lulu 5 5","IRI","15","20","-25.0","13","11","18.2","9","10","-10.0","0.21","73.1","4,694","580"
"Okanagan-Similkameen A","RDA","2,139","1,858","15.1","1,050","963","9.0","873","801","9.0","258.04","8.3","1,326","196"
"Okanagan-Similkameen B","RDA","1,151","1,047","9.9","512","488","4.9","469","448","4.7","238.78","4.8","1,946","265"
"Okanagan-Similkameen C","RDA","3,986","3,557","12.1","1,837","1,651","11.3","1,699","1,527","11.3","444.75","9.0","859","128"
"Okanagan-Similkameen D 5","RDA","4,016","3,757","6.9","2,098","2,002","4.8","1,845","1,724","7.0","583.93","6.9","857","127"
"Okanagan-Similkameen E","RDA","2,015","1,903","5.9","1,088","1,002","8.6","894","827","8.1","491.90","4.1","1,373","202"
"Okanagan-Similkameen F","RDA","2,092","2,014","3.9","852","835","2.0","797","760","4.9","568.86","3.7","1,342","197"
"Okanagan-Similkameen G 5","RDA","2,298","2,134","7.7","1,314","1,242","5.8","1,136","1,055","7.7","2,110.68","1.1","1,263","190"
"Okanagan-Similkameen H 5","RDA","2,232","1,933","15.5","2,058","1,902","8.2","1,060","912","16.2","4,757.22","0.5","1,291","194"
"Okanagan-Similkameen I 5","RDA","2,307","2,219","4.0","1,609","1,524","5.6","971","920","5.5","344.36","6.7","1,258","187"
"Oliver","T","5,094","4,928","3.4","2,445","2,249","8.7","2,312","2,157","7.2","5.49","927.9","720","98"
"Osoyoos 4","T","5,556","5,050","10.0","3,279","3,048","7.6","2,647","2,402","10.2","8.41","660.7","690","91"
"Osoyoos 1","IRI","1,426","762","87.1","878","449","95.5","565","353","60.1","130.34","10.9","1,714","247"
"Penticton","CY","36,885","33,761","9.3","18,457","16,895","9.2","17,361","15,740","10.3","43.03","857.3","134","25"
"Penticton 1","IRI","2,080","1,783","16.7","1,011","854","18.4","946","786","20.4","194.55","10.7","1,350","199"
"Princeton","T","2,894","2,828","2.3","1,521","1,535","-0.9","1,377","1,393","-1.1","59.28","48.8","1,070","167"
"Summerland","DM","12,042","11,615","3.7","5,426","5,240","3.5","5,084","4,938","3.0","74.04","162.6","357","54"
"Blueberry River 205","IRI","145","197","-26.4","69","71","-2.8","69","65","6.2","13.13","11.0","4,077","437"
"Chetwynd","DM","2,302","2,503","-8.0","1,271","1,294","-1.8","993","1,005","-1.2","63.55","36.2","1,261","188"
"Dawson Creek","CY","12,323","12,178","1.2","6,189","6,020","2.8","5,405","5,035","7.3","26.72","461.1","349","50"
"Doig River 206","IRI","85","118","-28.0","54","55","-1.8","54","51","5.9","11.35","7.5","4,327","480"
"East Moberly Lake 169","IRI","297","381","-22.0","130","131","-0.8","130","125","4.0","31.08","9.6","3,519","370"
"Finlay River 6 5","IRI","229","0","...","116","0","...","102","0","...","9.49","24.1","3,753","396"
"Fort St. John 5","CY","21,465","20,260","5.9","10,004","9,524","5.0","8,777","7,977","10.0","32.67","656.9","210","34"
"Fort Ware 1","IRI","242","332","-27.1","125","128","-2.3","119","109","9.2","3.62","66.9","3,715","390"
"Halfway River 168","IRI","247","172","43.6","75","61","23.0","75","59","27.1","40.27","6.1","3,691","384"
"Hudson's Hope","DM","841","1,015","-17.1","460","545","-15.6","378","446","-15.2","826.70","1.0","2,317","284"
